data,campanha_id,campanha_nome,objetivo,plataforma,alcance,impressoes,frequencia,gasto,cpm,cliques_todos,ctr_todos,cliques_link,ctr_link,cpc_link,visualizacoes_pagina_destino,video_3s,thruplays,adicoes_carrinho,checkouts_iniciados,compras,custo_por_compra,valor_compras,roas,leads,custo_por_lead,conversas_iniciadas,custo_por_conversa
2026-06-01,CAMP-001,Lancamento Curso Trafego,Vendas,Meta Ads,23795,45210,1.90,850.40,18.81,1669,3.69,995,2.20,0.85,779,15055,4551,134,73,42,20.25,12990.10,15.28,,,,
2026-06-02,CAMP-001,Lancamento Curso Trafego,Vendas,Meta Ads,23674,44980,1.90,845.10,18.79,1552,3.45,990,2.20,0.85,814,13655,4122,120,57,40,21.13,11712.58,13.86,,,,
2026-06-03,CAMP-001,Lancamento Curso Trafego,Vendas,Meta Ads,23050,46100,2.00,861.70,18.69,1781,3.86,1060,2.30,0.81,885,15049,5101,140,60,43,20.04,13211.16,15.33,,,,
2026-06-04,CAMP-001,Lancamento Curso Trafego,Vendas,Meta Ads,22800,45600,2.00,853.90,18.73,1695,3.72,1003,2.20,0.85,816,14531,5460,118,59,41,20.83,11905.91,13.94,,,,
2026-06-05,CAMP-001,Lancamento Curso Trafego,Vendas,Meta Ads,22950,45900,2.00,858.20,18.70,1737,3.78,1010,2.20,0.85,849,18216,6430,127,79,42,20.43,12477.53,14.54,,,,
2026-06-06,CAMP-001,Lancamento Curso Trafego,Vendas,Meta Ads,22048,46300,2.10,866.10,18.71,1768,3.82,1065,2.30,0.81,919,17326,6344,135,77,44,19.68,12723.87,14.69,,,,
2026-06-07,CAMP-001,Lancamento Curso Trafego,Vendas,Meta Ads,21762,45700,2.10,855.60,18.72,1604,3.51,-1005,2.20,0.85,813,14148,4291,113,65,42,20.37,12734.14,14.88,,,,
2026-06-01,CAMP-002,Remarketing Checkout,Vendas,Meta Ads,4000,12400,3.10,310.20,25.02,824,6.65,508,4.10,0.61,415,4032,1237,94,48,28,11.08,5619.32,18.12,,,,
2026-06-02,CAMP-002,Remarketing Checkout,Vendas,Meta Ads,3781,12100,3.20,305.50,25.25,767,6.34,484,4.00,0.63,413,3867,1229,88,45,26,11.75,5196.56,17.01,,,,
2026-06-03,CAMP-002,Remarketing Checkout,Vendas,Meta Ads,3500,11900,3.40,402.80,33.85,783,6.58,464,3.90,0.87,401,4678,1417,37,22,14,28.77,2734.33,6.79,,,,
2026-06-04,CAMP-002,Remarketing Checkout,Vendas,Meta Ads,3417,12300,3.60,512.40,41.66,783,6.37,492,4.00,1.04,430,4984,1552,28,14,9,56.93,1849.53,3.61,,,,
2026-06-05,CAMP-002,Remarketing Checkout,Vendas,Meta Ads,3205,12500,3.90,618.90,49.51,841,6.73,512,4.10,1.21,413,4120,1385,20,12,7,88.41,1436.68,2.32,,,,
2026-06-06,CAMP-002,Remarketing Checkout,Vendas,Meta Ads,2837,12200,4.30,701.30,57.48,776,6.36,476,3.90,1.47,382,5120,1694,13,7,5,140.26,964.09,1.37,,,,
2026-06-07,CAMP-002,Remarketing Checkout,Vendas,Meta Ads,2625,12600,4.80,805.70,63.94,844,6.70,504,4.00,1.60,433,4418,1265,9,6,3,268.57,598.29,0.74,,,,
2026-06-01,CAMP-003,Captacao Leads B2B,Leads,Meta Ads,3708,8900,2.40,420.00,47.19,279,3.13,160,1.80,2.62,139,2682,944,,,,,,,9,46.67,,
2026-06-02,CAMP-003,Captacao Leads B2B,Leads,Meta Ads,3640,9100,2.50,431.00,47.36,277,3.04,164,1.80,2.63,137,3021,1040,,,,,,,8,53.88,,
2026-06-03,CAMP-003,Captacao Leads B2B,Leads,Meta Ads,3620,9050,2.50,428.50,47.35,242,2.67,154,1.70,2.78,127,3208,1204,,,,,,,2,214.25,,
2026-06-04,CAMP-003,Captacao Leads B2B,Leads,Meta Ads,3538,9200,2.60,435.00,47.28,286,3.11,166,1.80,2.62,134,3313,987,,,,,,,0,,,
2026-06-05,CAMP-003,Captacao Leads B2B,Leads,Meta Ads,3519,9150,2.60,433.20,47.34,270,2.95,156,1.70,2.78,135,3073,1057,,,,,,,0,,,
2026-06-06,CAMP-003,Captacao Leads B2B,Leads,Meta Ads,3444,9300,2.70,440.10,47.32,279,3.00,167,1.80,2.64,133,3641,1216,,,,,,,0,,,
2026-06-07,CAMP-003,Captacao Leads B2B,Leads,Meta Ads,3426,9250,2.70,437.80,47.33,268,2.90,157,1.70,2.79,131,2776,867,,,,,,,0,,,
2026-06-01,CAMP-004,Black Friday Antecipada,Vendas,Meta Ads,42375,67800,1.60,1250.80,18.45,2845,4.20,1831,2.70,0.68,1598,27489,9983,213,107,75,16.68,11624.69,9.29,,,,
2026-06-02,CAMP-004,Black Friday Antecipada,Vendas,Meta Ads,43250,69200,1.60,1280.30,18.50,3249,4.70,1868,2.70,0.69,1473,24796,7114,250,139,78,16.41,11392.71,8.90,,,,
2026-06-03,CAMP-004,Black Friday Antecipada,Vendas,Meta Ads,41235,70100,1.70,1295.00,18.47,3229,4.61,1963,2.80,0.66,1639,23260,8542,223,114,,,,,,,,
2026-06-04,CAMP-004,Black Friday Antecipada,Vendas,Meta Ads,40529,68900,1.70,"1.272,60",18.47,3155,4.58,1860,2.70,0.68,1488,23247,8823,231,120,74,17.20,11151.76,8.76,,,,
2026-06-05,CAMP-004,Black Friday Antecipada,Vendas,Meta Ads,41941,71300,1.70,1310.50,18.38,3142,4.41,1996,2.80,0.66,1602,24283,8228,223,121,80,16.38,11630.10,8.87,,,,
2026-06-06,CAMP-004,Black Friday Antecipada,Vendas,Meta Ads,39333,70800,1.80,1302.40,18.40,3205,4.53,1912,2.70,0.68,1535,28932,10588,205,117,77,16.91,11742.82,9.02,,,,
2026-06-07,CAMP-004,Black Friday Antecipada,Vendas,Meta Ads,40000,72000,1.80,1322.90,18.37,3211,4.46,2016,2.80,0.66,1599,29683,10006,244,147,82,16.13,12640.74,9.56,,,,
2026-06-01,CAMP-005,Institucional Video,Reconhecimento,Meta Ads,54444,98000,1.80,540.00,5.51,1712,1.75,1078,1.10,0.50,851,34469,11111,,,,,,,,,,
2026-06-02,CAMP-005,Institucional Video,Reconhecimento,Meta Ads,53421,101500,1.90,552.00,5.44,1834,1.81,1116,1.10,0.49,952,38652,14627,,,,,,,,,,
2026-06-03,CAMP-005,Institucional Video,Reconhecimento,Meta Ads,47524,99800,2.10,548.00,5.49,1567,1.57,998,1.00,0.55,819,34003,12451,,,,,,,,,,
2026-06-04,CAMP-005,Institucional Video,Reconhecimento,Meta Ads,34552,100200,2.90,549.00,5.48,801,0.80,501,0.50,1.10,400,35454,11423,,,,,,,,,,
2026-06-05,CAMP-005,Institucional Video,Reconhecimento,Meta Ads,26842,102000,3.80,556.00,5.45,491,0.48,306,0.30,1.82,246,41901,13589,,,,,,,,,,
